months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,years_as_customer,total_claims
186,33,779075,2010-02-27,IN,100/300,1000,1348.32,0,469429,FEMALE,Associate,craft-repair,cross-fit,wife,37600.0,-37600,2015-01-14,Vehicle Theft,Not Specified,Trivial Damage,Police,NY,Arlington,8477 Francis Hwy,3,1,NO,2,1,Not specified,4730.0,860.0,860.0,3010,Chevrolet,Malibu,2013,Y,16.0,4730.0
201,40,799501,1991-12-28,OH,250/500,2000,1315.56,0,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,0.0,0,2015-02-18,Vehicle Theft,Not Specified,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,YES,0,0,YES,6820.0,1240.0,1240.0,4340,Jeep,Grand Cherokee,2003,N,17.0,6820.0
436,58,987905,2002-04-30,OH,250/500,2000,1407.01,5000000,475705,MALE,PhD,tech-support,sleeping,other-relative,47400.0,-27600,2015-01-10,Single Vehicle Collision,Rear Collision,Major Damage,Police,WV,Riverwood,3658 Rock Drive,10,1,Not specified,0,2,Not specified,59900.0,11980.0,5990.0,41930,BMW,X5,1997,Y,36.0,59900.0
189,36,967756,2007-04-28,OH,250/500,2000,1388.58,0,459122,FEMALE,MD,priv-house-serv,basketball,own-child,0.0,-49400,2015-02-13,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,2617 Andromedia Drive,17,3,Not specified,1,3,YES,79560.0,13260.0,13260.0,53040,Ford,Escape,2009,N,16.0,79560.0
105,33,830414,1996-07-08,IL,500/1000,500,1310.76,0,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family,0.0,-40900,2015-02-17,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,YES,0,1,Not specified,70290.0,12780.0,6390.0,51120,Accura,MDX,2008,N,9.0,70290.0
163,31,127313,2002-04-01,IN,100/300,1000,1004.63,6000000,460359,MALE,JD,priv-house-serv,hiking,not-in-family,26900.0,0,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Hillsdale,3439 Andromedia Hwy,14,3,YES,2,0,NO,63910.0,5810.0,11620.0,46480,Suburu,Forrestor,1999,N,14.0,63910.0
219,40,786957,2006-10-29,OH,100/300,500,1134.91,0,452735,FEMALE,Associate,transport-moving,golf,not-in-family,68700.0,0,2015-01-29,Vehicle Theft,Not Specified,Trivial Damage,None,SC,Riverwood,5901 Elm Drive,6,1,Not specified,1,0,NO,6400.0,640.0,640.0,5120,Toyota,Camry,1997,N,18.0,6400.0
88,25,332892,2007-10-25,IN,250/500,1000,1194.0,0,613583,FEMALE,JD,handlers-cleaners,movies,husband,0.0,0,2015-02-13,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Northbrook,3982 Washington Hwy,6,1,YES,1,2,YES,66780.0,7420.0,7420.0,51940,Ford,Escape,2013,Y,7.0,66780.0
40,39,448642,2001-03-28,IN,500/1000,1000,1248.25,4000000,605692,FEMALE,College,sales,hiking,own-child,0.0,-33300,2015-02-01,Parked Car,Not Specified,Minor Damage,Police,VA,Northbrook,3376 5th Drive,8,1,NO,0,2,Not specified,8760.0,1460.0,1460.0,5840,BMW,3 Series,2013,N,3.0,8760.0
59,40,444422,2011-09-28,IL,250/500,2000,782.23,0,449221,MALE,College,protective-serv,golf,other-relative,64200.0,-32300,2015-02-06,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,OH,Springfield,6605 Tree Ave,0,3,Not specified,0,2,NO,51570.0,5730.0,11460.0,34380,BMW,X5,2010,N,5.0,51570.0
39,31,689500,2003-01-28,IL,250/500,2000,1366.9,0,459322,FEMALE,High School,handlers-cleaners,polo,husband,0.0,-15700,2015-01-28,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,3102 Apache St,14,3,Not specified,1,0,NO,52700.0,10540.0,10540.0,31620,BMW,X6,2014,Y,3.0,52700.0
147,34,806081,2011-02-01,IL,500/1000,1000,1275.81,0,472657,MALE,High School,sales,dancing,wife,0.0,-48300,2015-01-21,Single Vehicle Collision,Side Collision,Minor Damage,Fire,NY,Columbus,7756 Pine Hwy,13,1,YES,2,2,Not specified,101010.0,15540.0,15540.0,69930,Mercedes,ML350,1998,N,12.0,101010.0
156,37,384618,1993-02-09,IN,250/500,500,1090.65,0,608331,MALE,High School,exec-managerial,golf,unmarried,0.0,-51800,2015-01-16,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NC,Columbus,7142 5th Lane,16,4,Not specified,1,2,YES,53400.0,5340.0,5340.0,42720,Honda,Civic,2010,Y,13.0,53400.0
123,31,756459,2005-08-05,IN,250/500,500,1326.0,0,438546,FEMALE,Associate,prof-specialty,basketball,wife,0.0,-54600,2015-02-17,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,13,1,Not specified,1,2,NO,72120.0,12020.0,12020.0,48080,Mercedes,ML350,2009,N,10.0,72120.0
231,43,655787,2006-06-17,IL,250/500,2000,972.47,0,441981,MALE,College,protective-serv,reading,wife,0.0,-58100,2015-02-01,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,6522 Apache Drive,15,3,YES,2,2,YES,77100.0,7710.0,15420.0,53970,Audi,A3,2010,N,19.0,77100.0
247,39,419954,1993-12-07,IL,100/300,500,806.31,0,602177,FEMALE,College,handlers-cleaners,dancing,wife,0.0,0,2015-02-25,Parked Car,Not Specified,Trivial Damage,Police,SC,Northbend,5279 Pine Ridge,3,1,Not specified,2,3,Not specified,3300.0,600.0,0.0,2700,Dodge,RAM,2003,N,21.0,3300.0
194,35,275092,2012-03-14,IL,500/1000,500,1416.24,0,441659,FEMALE,MD,adm-clerical,golf,not-in-family,0.0,0,2015-02-26,Parked Car,Not Specified,Minor Damage,None,WV,Northbend,8078 Britain Hwy,7,1,YES,1,0,Not specified,5940.0,1080.0,540.0,4320,Nissan,Pathfinder,2003,N,16.0,5940.0
119,27,515698,1997-08-05,IN,250/500,2000,1097.64,0,614812,MALE,High School,transport-moving,video-games,other-relative,27100.0,0,2015-02-06,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,1133 Apache St,16,2,NO,1,0,Not specified,63720.0,7080.0,21240.0,35400,Accura,TL,2006,N,10.0,63720.0
259,43,132871,2009-07-05,IL,100/300,500,947.75,0,458470,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0.0,-39300,2015-02-03,Vehicle Theft,Not Specified,Trivial Damage,Police,SC,Riverwood,2873 Flute Ave,15,1,NO,1,3,NO,,1280.0,640.0,5760,Audi,A5,2008,N,22.0,7680.0
107,31,714929,1994-11-25,IL,100/300,2000,1018.73,5000000,469646,MALE,Associate,handlers-cleaners,yachting,own-child,20000.0,-82700,2015-01-27,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Riverwood,8509 Apache St,21,3,YES,1,2,Not specified,93730.0,14420.0,21630.0,57680,Honda,CRV,2001,N,9.0,93730.0
48,44,297816,1997-02-03,IL,100/300,2000,1400.74,0,611118,MALE,College,sales,base-jumping,other-relative,34000.0,-55600,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,8245 4th Hwy,23,3,YES,0,2,Not specified,87300.0,17460.0,17460.0,52380,Jeep,Wrangler,2013,N,4.0,87300.0
267,40,426708,2009-10-09,IL,250/500,500,1155.53,5000000,465158,MALE,JD,transport-moving,camping,wife,0.0,-35200,2015-01-24,Parked Car,Not Specified,Trivial Damage,Police,NY,Columbus,3094 Best Lane,5,1,Not specified,0,2,NO,5670.0,1260.0,630.0,3780,Ford,F150,1997,N,22.0,5670.0
286,47,615047,2002-11-20,IN,250/500,500,1386.93,0,457130,MALE,High School,priv-house-serv,bungie-jumping,husband,54100.0,-77600,2015-01-17,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Springfield,8188 Tree Ave,15,3,YES,0,0,NO,65800.0,13160.0,6580.0,46060,Accura,TL,2001,N,24.0,65800.0
175,34,771236,1995-05-29,OH,100/300,500,915.29,0,607893,FEMALE,JD,handlers-cleaners,base-jumping,wife,82400.0,-57100,2015-02-23,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,5224 5th Lane,14,1,Not specified,2,1,YES,36720.0,4080.0,4080.0,28560,Honda,Accord,2009,Y,15.0,36720.0
111,29,235869,2011-01-22,IL,250/500,500,1239.55,2000000,464736,FEMALE,PhD,farming-fishing,kayaking,own-child,0.0,0,2015-01-09,Single Vehicle Collision,Side Collision,Major Damage,Fire,SC,Riverwood,2230 1st St,1,1,Not specified,1,1,YES,52800.0,4800.0,9600.0,38400,Mercedes,ML350,1996,Y,9.0,52800.0
151,37,931625,2012-10-18,IN,250/500,500,1366.42,0,476198,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000.0,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6719 Flute St,14,3,NO,1,2,YES,59100.0,5910.0,5910.0,47280,Nissan,Maxima,1998,Y,13.0,59100.0
156,37,371635,1991-10-13,OH,500/1000,1000,1086.48,6000000,444903,MALE,Associate,machine-op-inspct,hiking,unmarried,0.0,-53800,2015-01-16,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Northbrook,8064 4th Ave,17,3,Not specified,1,1,YES,77440.0,14080.0,7040.0,56320,Suburu,Legacy,1999,N,13.0,77440.0
165,36,427199,2010-10-01,IL,250/500,2000,1247.87,0,464336,MALE,Masters,armed-forces,golf,husband,0.0,-39700,2015-01-14,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Northbend,2469 Francis Lane,20,3,NO,2,2,NO,45700.0,4570.0,4570.0,36560,BMW,3 Series,2008,N,14.0,45700.0
253,41,261315,2013-04-10,OH,100/300,2000,1312.75,0,471453,FEMALE,PhD,sales,dancing,other-relative,81300.0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,4671 5th Ridge,10,3,NO,2,2,YES,80740.0,7340.0,14680.0,58720,Toyota,Camry,2014,Y,21.0,80740.0
10,26,582973,2008-06-11,IN,100/300,2000,765.64,0,466191,MALE,MD,sales,base-jumping,not-in-family,0.0,-22200,2015-02-16,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,Not specified,0,3,Not specified,31350.0,2850.0,5700.0,22800,Honda,Accord,2001,Y,1.0,31350.0
158,33,278091,2013-12-04,OH,100/300,2000,1327.41,0,440930,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0.0,-38600,2015-01-04,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,7791 Britain Ridge,0,1,Not specified,0,0,Not specified,35000.0,3500.0,7000.0,24500,Suburu,Legacy,2012,N,13.0,35000.0
436,59,153154,2010-08-21,OH,500/1000,1000,1338.55,0,430380,MALE,PhD,protective-serv,board-games,own-child,39000.0,0,2015-01-12,Multi-vehicle Collision,Side Collision,Total Loss,Police,WV,Hillsdale,6355 4th Hwy,10,3,Not specified,2,2,NO,68000.0,13600.0,6800.0,47600,Toyota,Corolla,2014,N,36.0,68000.0
91,30,515217,2010-06-18,IL,250/500,2000,1316.63,8000000,613178,FEMALE,Masters,machine-op-inspct,golf,unmarried,43900.0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3495 Britain Drive,13,3,YES,2,0,Not specified,84500.0,13000.0,13000.0,58500,BMW,X6,2009,N,8.0,84500.0
256,42,860497,1992-04-10,IL,500/1000,1000,1286.44,0,460564,FEMALE,MD,transport-moving,bungie-jumping,wife,0.0,-39500,2015-01-22,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Northbend,2980 Sky Ridge,14,1,NO,2,1,Not specified,75500.0,7550.0,15100.0,52850,Nissan,Ultima,1998,N,21.0,75500.0
274,46,351741,1997-02-03,OH,500/1000,1000,1372.18,0,439929,MALE,High School,exec-managerial,bungie-jumping,not-in-family,0.0,0,2015-01-13,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Riverwood,5914 Oak Ave,22,3,NO,1,3,Not specified,90600.0,15100.0,15100.0,60400,BMW,X5,2009,N,23.0,90600.0
275,45,403737,1991-12-06,IN,500/1000,2000,1447.77,0,605756,FEMALE,Associate,adm-clerical,camping,wife,39400.0,-63900,2015-01-18,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,VA,Northbend,3835 5th Ave,8,3,YES,1,1,Not specified,64320.0,5360.0,10720.0,48240,Accura,MDX,1998,N,23.0,64320.0
1,33,162004,1995-09-19,IL,250/500,500,903.32,0,451184,FEMALE,High School,transport-moving,yachting,not-in-family,0.0,0,2015-01-19,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,5925 Tree Hwy,1,3,Not specified,1,0,Not specified,31700.0,6340.0,3170.0,22190,Toyota,Highlander,2006,N,0.0,31700.0
85,30,740384,1993-10-29,IN,500/1000,1000,1454.42,0,459588,MALE,Associate,protective-serv,reading,other-relative,51600.0,-73900,2015-01-31,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,6250 1st Ridge,19,1,YES,0,1,YES,74280.0,12380.0,12380.0,49520,Suburu,Forrestor,2006,Y,7.0,74280.0
233,37,876714,1991-11-03,IL,100/300,2000,1603.42,0,616637,FEMALE,High School,sales,video-games,wife,61600.0,-30200,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,1346 5th Lane,17,1,YES,0,2,YES,80520.0,13420.0,6710.0,60390,Toyota,Corolla,2005,N,19.0,80520.0
142,30,951543,2002-07-09,IN,250/500,2000,1616.58,0,447979,MALE,JD,adm-clerical,polo,husband,58500.0,-46800,2015-02-04,Multi-vehicle Collision,Rear Collision,Major Damage,Other,SC,Hillsdale,1128 Maple Lane,13,3,YES,0,3,YES,63600.0,6360.0,12720.0,44520,Dodge,RAM,2010,N,12.0,63600.0
266,44,576723,1999-12-07,IL,250/500,500,1611.83,0,460176,MALE,High School,handlers-cleaners,movies,husband,0.0,0,2015-01-02,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Riverwood,6309 Cherokee Ave,4,1,Not specified,1,2,YES,32800.0,3280.0,3280.0,26240,BMW,3 Series,2012,N,22.0,32800.0
350,50,391003,2005-07-01,OH,500/1000,500,889.13,0,459429,FEMALE,Masters,priv-house-serv,board-games,other-relative,0.0,0,2015-02-26,Multi-vehicle Collision,Rear Collision,Total Loss,Police,PA,Northbend,4618 Flute Ave,14,3,NO,0,2,NO,44190.0,9820.0,4910.0,29460,Audi,A3,2015,N,29.0,44190.0
97,26,225865,1991-11-04,IL,250/500,1000,1252.08,0,465456,MALE,College,exec-managerial,sleeping,not-in-family,0.0,0,2015-02-08,Multi-vehicle Collision,Rear Collision,Major Damage,Other,VA,Springfield,6191 Oak Lane,4,2,YES,2,2,NO,50400.0,10080.0,5040.0,35280,Honda,CRV,2000,Y,8.0,50400.0
399,55,984948,1993-04-14,IL,500/1000,2000,995.56,0,464665,MALE,JD,tech-support,sleeping,not-in-family,0.0,-65400,2015-02-07,Multi-vehicle Collision,Side Collision,Total Loss,Police,NY,Northbend,1316 Britain Ridge,23,3,YES,1,1,YES,88400.0,17680.0,8840.0,61880,Nissan,Pathfinder,2010,N,33.0,88400.0
305,49,890328,2009-08-23,IL,100/300,2000,1347.92,0,430853,FEMALE,High School,farming-fishing,bungie-jumping,own-child,0.0,-42100,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,5924 Maple Drive,21,3,YES,0,2,Not specified,66550.0,12100.0,6050.0,48400,Volkswagen,Jetta,2003,N,25.0,66550.0
276,47,803294,1993-06-18,IN,100/300,1000,1724.09,0,615712,MALE,PhD,craft-repair,yachting,own-child,0.0,0,2015-01-12,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,8917 Tree Ridge,23,3,YES,0,0,Not specified,65780.0,5980.0,11960.0,47840,Chevrolet,Tahoe,2014,N,23.0,65780.0
257,40,414913,2012-07-17,IN,250/500,500,1379.93,0,608228,MALE,MD,armed-forces,base-jumping,husband,0.0,0,2015-02-01,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,3966 Francis Ridge,6,3,Not specified,0,2,YES,51810.0,9420.0,4710.0,37680,Audi,A3,2002,Y,21.0,51810.0
78,31,414519,1999-01-25,IN,250/500,1000,1554.64,4000000,457535,MALE,PhD,protective-serv,board-games,own-child,0.0,-27900,2015-02-03,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,1507 Solo Ave,21,1,NO,1,0,NO,55660.0,5060.0,10120.0,40480,Honda,CRV,2009,Y,6.0,55660.0
129,28,818413,1990-02-23,OH,500/1000,1000,1377.94,0,442540,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,0.0,0,2015-02-21,Single Vehicle Collision,Side Collision,Major Damage,Fire,NY,Springfield,4272 Oak Ridge,23,1,Not specified,2,3,Not specified,44640.0,9920.0,4960.0,29760,Toyota,Camry,2005,N,11.0,44640.0
283,46,487356,2000-08-30,IL,500/1000,2000,1313.33,0,455332,FEMALE,PhD,transport-moving,reading,husband,53500.0,-73600,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,4434 Lincoln Ave,3,3,Not specified,1,3,NO,77660.0,7060.0,14120.0,56480,Nissan,Maxima,2004,Y,24.0,77660.0
85,25,159768,2008-09-03,IN,250/500,500,1259.02,0,439534,FEMALE,JD,tech-support,base-jumping,unmarried,67000.0,-53600,2015-02-16,Parked Car,Not Specified,Trivial Damage,None,SC,Northbend,7529 Solo Ridge,8,1,NO,2,2,Not specified,5640.0,940.0,940.0,3760,Nissan,Ultima,2005,N,7.0,5640.0
101,26,865839,1991-08-02,IL,500/1000,1000,1371.88,0,462420,FEMALE,MD,prof-specialty,reading,husband,0.0,0,2015-02-04,Parked Car,Not Specified,Trivial Damage,None,VA,Arlington,8096 Apache Hwy,4,1,Not specified,2,2,Not specified,3190.0,580.0,580.0,2030,Suburu,Legacy,1995,N,8.0,3190.0
96,30,406567,2001-09-25,OH,100/300,500,1399.27,6000000,448913,MALE,College,prof-specialty,hiking,wife,38900.0,-48700,2015-02-24,Single Vehicle Collision,Side Collision,Total Loss,Fire,NC,Arlington,9417 Tree Hwy,22,1,Not specified,0,0,YES,53440.0,0.0,6680.0,46760,Ford,Escape,2004,N,8.0,53440.0
121,31,623032,2007-03-11,IL,500/1000,1000,1061.98,6000000,440837,FEMALE,JD,armed-forces,camping,unmarried,0.0,0,2015-02-01,Single Vehicle Collision,Rear Collision,Minor Damage,Police,WV,Hillsdale,3809 Texas Lane,16,1,NO,0,1,YES,65250.0,7250.0,7250.0,50750,BMW,3 Series,2002,N,10.0,65250.0
176,39,935442,2010-11-20,OH,250/500,500,1365.46,4000000,466634,MALE,College,armed-forces,sleeping,unmarried,0.0,-56600,2015-02-05,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Columbus,1540 Apache Lane,14,3,NO,2,1,NO,44280.0,4920.0,4920.0,34440,Chevrolet,Silverado,2008,N,15.0,44280.0
159,37,106873,1998-08-28,IL,500/1000,1000,894.4,0,446435,MALE,Associate,tech-support,camping,wife,0.0,-53700,2015-01-07,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Springfield,2337 Lincoln Hwy,13,1,YES,2,0,NO,70290.0,7810.0,7810.0,54670,Dodge,RAM,1999,N,13.0,70290.0
120,30,563878,2002-07-16,IN,250/500,500,956.69,0,438237,FEMALE,Associate,priv-house-serv,movies,husband,39600.0,-64300,2015-02-06,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Hillsdale,6770 1st St,20,1,Not specified,1,1,YES,87100.0,8710.0,8710.0,69680,Saab,92x,2000,N,10.0,87100.0
212,35,620855,1990-04-29,IN,500/1000,2000,1123.89,0,468313,MALE,MD,priv-house-serv,video-games,unmarried,35400.0,-49200,2015-01-21,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,4119 Texas St,0,3,Not specified,1,3,Not specified,50380.0,4580.0,4580.0,41220,Suburu,Forrestor,1996,N,18.0,50380.0
290,45,583169,1998-02-01,IL,100/300,500,1085.03,0,476303,FEMALE,JD,sales,cross-fit,wife,0.0,-61000,2015-03-01,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Arlington,4347 2nd Ridge,23,3,YES,2,2,NO,64800.0,12960.0,6480.0,45360,Audi,A3,2014,Y,24.0,64800.0
299,42,337677,2008-07-20,OH,100/300,2000,1437.33,0,450339,FEMALE,Associate,craft-repair,movies,wife,25000.0,0,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,1091 1st Drive,13,1,YES,1,3,NO,70400.0,12800.0,12800.0,44800,BMW,3 Series,2000,N,25.0,70400.0
66,26,445973,1998-11-13,IL,250/500,1000,988.29,0,476502,MALE,College,armed-forces,skydiving,own-child,0.0,0,2015-02-02,Single Vehicle Collision,Rear Collision,Major Damage,Police,NY,Northbend,8203 Lincoln Ave,8,1,Not specified,2,2,YES,57860.0,0.0,10520.0,47340,Suburu,Impreza,2008,Y,6.0,57860.0
334,47,156694,2001-05-24,IL,500/1000,500,1238.89,0,600561,MALE,Masters,protective-serv,sleeping,other-relative,0.0,0,2015-01-31,Vehicle Theft,Not Specified,Minor Damage,None,WV,Northbend,9154 MLK Hwy,3,1,Not specified,0,3,NO,6240.0,960.0,960.0,4320,Ford,Fusion,2011,N,28.0,6240.0
216,38,421940,2014-06-03,IN,100/300,1000,1384.64,5000000,600754,FEMALE,Associate,tech-support,board-games,unmarried,0.0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,VA,Columbus,5780 4th Ave,16,1,Not specified,2,3,NO,66600.0,16650.0,11100.0,38850,Jeep,Grand Cherokee,2012,Y,18.0,66600.0
86,28,613226,1991-08-22,IN,100/300,2000,1595.07,0,439304,MALE,PhD,transport-moving,hiking,unmarried,75800.0,0,2015-02-23,Single Vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,6945 Texas Hwy,19,1,YES,0,2,YES,70920.0,11820.0,11820.0,47280,Jeep,Wrangler,2002,N,7.0,70920.0
429,56,804410,1998-12-12,OH,250/500,1000,1127.89,6000000,460722,MALE,Associate,machine-op-inspct,skydiving,own-child,67400.0,-43800,2015-01-28,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,5639 1st Ridge,0,1,YES,2,0,YES,39480.0,6580.0,6580.0,26320,Suburu,Forrestor,2002,N,36.0,39480.0
257,43,553565,1999-02-18,IN,500/1000,2000,929.7,6000000,618632,FEMALE,PhD,handlers-cleaners,base-jumping,husband,46400.0,-74300,2015-01-14,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Arlington,3834 Pine St,12,1,Not specified,2,2,YES,63240.0,10540.0,5270.0,47430,Mercedes,E400,2005,N,21.0,63240.0
15,34,399524,1997-10-30,IL,100/300,1000,1829.63,0,452204,MALE,JD,tech-support,cross-fit,not-in-family,56700.0,0,2015-02-03,Multi-vehicle Collision,Side Collision,Total Loss,Other,SC,Arlington,1358 Maple St,21,3,YES,1,0,Not specified,67650.0,12300.0,6150.0,49200,Audi,A5,2009,N,1.0,67650.0
230,39,331595,1999-11-29,IL,100/300,1000,904.7,7000000,454530,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68600.0,-22300,2015-02-17,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,7460 Apache Lane,0,1,Not specified,1,3,NO,74200.0,14840.0,14840.0,44520,Accura,TL,2002,Y,19.0,74200.0
250,43,380067,2013-07-07,OH,500/1000,1000,1243.84,0,474848,FEMALE,JD,tech-support,polo,own-child,47900.0,-73400,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Other,VA,Columbus,5771 Sky Ave,22,1,YES,1,3,NO,64900.0,12980.0,12980.0,38940,Volkswagen,Jetta,2011,N,21.0,64900.0
270,44,701521,2003-07-05,IL,500/1000,2000,1030.95,0,435985,FEMALE,Associate,machine-op-inspct,paintball,other-relative,47200.0,0,2015-02-03,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,NC,Northbend,2865 Maple Lane,20,3,Not specified,1,0,NO,35900.0,7180.0,3590.0,25130,Audi,A3,2007,Y,22.0,35900.0
65,26,360770,2005-09-21,IN,100/300,500,1285.03,3000000,457942,FEMALE,High School,craft-repair,camping,unmarried,0.0,-41500,2015-02-03,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,VA,Riverwood,8940 Elm Ave,0,1,NO,1,3,Not specified,52200.0,5220.0,10440.0,36540,Honda,CRV,2011,N,5.0,52200.0
475,57,958785,1995-02-18,OH,100/300,500,1216.56,0,436522,MALE,Masters,adm-clerical,skydiving,own-child,67400.0,-83200,2015-01-31,Single Vehicle Collision,Front Collision,Minor Damage,Police,SC,Hillsdale,1215 Pine Hwy,20,1,Not specified,0,2,NO,78000.0,6500.0,13000.0,58500,Suburu,Forrestor,2000,N,40.0,78000.0
77,27,797934,1999-04-07,IN,500/1000,2000,966.26,0,471704,FEMALE,High School,adm-clerical,base-jumping,own-child,56400.0,-32800,2015-02-06,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,6874 Maple Ridge,1,3,YES,0,0,Not specified,67200.0,6720.0,6720.0,53760,Volkswagen,Passat,1995,N,6.0,67200.0
256,43,883980,2014-12-13,OH,100/300,500,1203.17,0,455810,FEMALE,MD,prof-specialty,golf,unmarried,56700.0,-65600,2015-02-06,Single Vehicle Collision,Rear Collision,Total Loss,Fire,WV,Hillsdale,8834 Elm Drive,11,1,NO,0,0,Not specified,63250.0,11500.0,5750.0,46000,Nissan,Ultima,1997,N,21.0,63250.0
229,37,340614,1997-06-01,IL,250/500,2000,1212.12,0,446544,FEMALE,MD,craft-repair,paintball,not-in-family,65600.0,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Columbus,8542 Lincoln Ridge,14,3,YES,1,1,YES,68760.0,11460.0,5730.0,51570,Ford,Fusion,1995,N,19.0,68760.0
110,28,435784,2013-07-13,OH,250/500,1000,1573.93,0,461919,MALE,College,other-service,movies,other-relative,30400.0,0,2015-01-07,Multi-vehicle Collision,Side Collision,Minor Damage,Police,NY,Springfield,9397 Francis St,20,3,YES,0,2,Not specified,65040.0,10840.0,10840.0,43360,Suburu,Impreza,2010,N,9.0,65040.0
177,33,563837,2002-12-30,IL,100/300,1000,1609.67,0,470128,MALE,College,adm-clerical,yachting,wife,0.0,-13200,2015-01-20,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Springfield,4907 Andromedia Drive,22,1,Not specified,1,3,Not specified,82800.0,20700.0,13800.0,48300,Jeep,Grand Cherokee,2004,Y,15.0,82800.0
292,44,200827,1997-02-28,OH,500/1000,500,1097.57,0,462836,MALE,PhD,priv-house-serv,basketball,unmarried,0.0,0,2015-02-28,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Columbus,4429 Washington St,12,1,NO,1,0,YES,61700.0,6170.0,6170.0,49360,Saab,93,2005,N,24.0,61700.0
